id,kickoff_time_formatted,started,event_day,deadline_time,deadline_time_formatted,team_h_difficulty,team_a_difficulty,code,kickoff_time,team_h_score,team_a_score,finished,minutes,provisional_start_time,finished_provisional,event,team_a,team_h
92,28 Oct 17:30,1,1,2017-10-28T10:30:00Z,28 Oct 11:30,4,3,918983,2017-10-28T16:30:00Z,0,1,1,90,0,1,10,5,2
93,29 Oct 13:30,1,2,2017-10-28T10:30:00Z,28 Oct 11:30,2,2,918985,2017-10-29T13:30:00Z,1,1,1,90,0,1,10,14,3
94,30 Oct 20:00,1,3,2017-10-28T10:30:00Z,28 Oct 11:30,3,3,918986,2017-10-30T20:00:00Z,1,0,1,90,0,1,10,13,4
95,28 Oct 15:00,1,1,2017-10-28T10:30:00Z,28 Oct 11:30,2,3,918987,2017-10-28T14:00:00Z,2,2,1,90,0,1,10,20,6
96,29 Oct 16:00,1,2,2017-10-28T10:30:00Z,28 Oct 11:30,2,3,918988,2017-10-29T16:00:00Z,2,0,1,90,0,1,10,7,9
97,28 Oct 15:00,1,1,2017-10-28T10:30:00Z,28 Oct 11:30,2,4,918989,2017-10-28T14:00:00Z,3,0,1,90,0,1,10,8,10
98,28 Oct 12:30,1,1,2017-10-28T10:30:00Z,28 Oct 11:30,4,4,918990,2017-10-28T11:30:00Z,1,0,1,90,0,1,10,17,12
99,28 Oct 15:00,1,1,2017-10-28T10:30:00Z,28 Oct 11:30,2,3,918991,2017-10-28T14:00:00Z,0,1,1,90,0,1,10,15,18
100,28 Oct 15:00,1,1,2017-10-28T10:30:00Z,28 Oct 11:30,5,2,918992,2017-10-28T14:00:00Z,2,3,1,90,0,1,10,11,19
101,05 Nov 16:30,1,2,2017-11-04T11:30:00Z,04 Nov 11:30,4,4,918993,2017-11-05T16:30:00Z,1,0,1,90,0,1,11,12,5
102,05 Nov 16:30,1,2,2017-11-04T11:30:00Z,04 Nov 11:30,2,3,918994,2017-11-05T16:30:00Z,3,2,1,90,0,1,11,18,7
103,04 Nov 15:00,1,1,2017-11-04T11:30:00Z,04 Nov 11:30,2,2,918995,2017-11-04T15:00:00Z,1,0,1,90,0,1,11,19,8
104,04 Nov 15:00,1,1,2017-11-04T11:30:00Z,04 Nov 11:30,3,3,918997,2017-11-04T15:00:00Z,0,1,1,90,0,1,11,2,13
105,04 Nov 15:00,1,1,2017-11-04T11:30:00Z,04 Nov 11:30,3,2,918998,2017-11-04T15:00:00Z,0,1,1,90,0,1,11,4,14
106,04 Nov 12:30,1,1,2017-11-04T11:30:00Z,04 Nov 11:30,3,2,918999,2017-11-04T12:30:00Z,2,2,1,90,0,1,11,9,15
107,04 Nov 15:00,1,1,2017-11-04T11:30:00Z,04 Nov 11:30,2,3,919000,2017-11-04T15:00:00Z,0,1,1,90,0,1,11,3,16
108,05 Nov 12:00,1,2,2017-11-04T11:30:00Z,04 Nov 11:30,2,4,919001,2017-11-05T12:00:00Z,1,0,1,90,0,1,11,6,17
109,04 Nov 17:30,1,1,2017-11-04T11:30:00Z,04 Nov 11:30,4,3,919002,2017-11-04T17:30:00Z,1,4,1,90,0,1,11,10,20
110,05 Nov 14:15,1,2,2017-11-04T11:30:00Z,04 Nov 11:30,4,5,918996,2017-11-05T14:15:00Z,3,1,1,90,0,1,11,1,11
111,18 Nov 12:30,1,1,2017-11-18T11:30:00Z,18 Nov 11:30,4,4,919004,2017-11-18T12:30:00Z,2,0,1,90,0,1,12,17,1
112,18 Nov 15:00,1,1,2017-11-18T11:30:00Z,18 Nov 11:30,2,3,919003,2017-11-18T15:00:00Z,4,0,1,90,0,1,12,8,2
113,20 Nov 20:00,1,3,2017-11-18T11:30:00Z,18 Nov 11:30,2,2,919005,2017-11-20T20:00:00Z,2,2,1,90,0,1,12,15,3
114,18 Nov 15:00,1,1,2017-11-18T11:30:00Z,18 Nov 11:30,2,3,919006,2017-11-18T15:00:00Z,2,0,1,90,0,1,12,16,4
