PlayerCode,PlayerLastName,Position,PlayerTeam,PearsonsCorrelation,SpearmansCorrelaction,Covariance
40387,Gosling,3,Bournemouth,-0.1146486931377787,-0.31775116340662957,-26.429587482219056
103912,Ibe,3,Bournemouth,-0.12328043023528734,0.10496128416182056,-25.92460881934566
155408,Cook,3,Bournemouth,-0.19728464428410505,-0.21213185338138746,-24.267425320056898
90105,Fraser,3,Bournemouth,-0.08781078755839569,-0.13071706387450402,-24.786628733997155
75115,Wilson,4,Bournemouth,-0.1896287905253744,-0.1247170844295859,-62.8307254623044
78007,King,4,Bournemouth,0.22529872747868462,0.14423156596021636,50.29871977240398
7958,Defoe,4,Bournemouth,-0.07385747193394729,-0.28546482732064266,-11.998577524893314
131897,Ryan,1,Brighton,0.12102751669570962,0.030284665458032108,42.95874822190613
83299,Dunk,2,Brighton,0.13386072177473643,0.26825414513118,44.23897581792315
61933,Duffy,2,Brighton,0.10002432042393397,0.11413286107807054,30.34850640113796
11352,Saltor Grau,2,Brighton,-0.18548506837852477,-0.2891017471753759,-55.06401137980085
42748,Bong,2,Brighton,-0.06832766125727288,-0.2026633773979355,-18.442389758179225
43808,Suttner,2,Brighton,-0.14204783560664652,-0.33634810144105126,-22.375533428165014
74375,Schelotto,2,Brighton,-0.10250410916055627,-0.20350837030528404,-6.927453769559033
83543,Knockaert,3,Brighton,-0.15627934692338916,-0.3275993718394683,-40.49786628733997
40845,Stephens,3,Brighton,0.07444931673271497,0.08629307948734241,12.51778093883357
109345,March,3,Brighton,-0.15474102209399254,-0.25154736497485786,-27.041251778093876
60307,Groß,3,Brighton,-0.12494513555773958,-0.20770992931323637,-56.79231863442391
66242,Pröpper,3,Brighton,-6.867253752039171E-4,0.008836218744940848,-0.11379800853483986
167473,Izquierdo Mena,3,Brighton,-0.2926593329786631,-0.3791912352778826,-75.06401137980085
20529,Murray,4,Brighton,-0.13901164792507648,-0.11856507871332934,-49.57325746799431
98747,Pope,1,Burnley,0.29968804359143697,0.30523359308226405,98.44950213371264
68983,Lowton,2,Burnley,0.1401366446742815,0.20753617616902587,29.658605974395442
51927,Mee,2,Burnley,0.3670587107748392,0.44974908375825506,99.23186344238972
40616,Ward,2,Burnley,0.18537134415266437,0.3132045063936756,46.88477951635845
17761,Tarkowski,2,Burnley,0.4241727336552425,0.5017919478547735,103.01564722617351
41674,Long,2,Burnley,0.14669883059328162,0.4084652530428043,27.311522048364154
103914,Taylor,2,Burnley,0.1278169554981167,0.24116521201570776,13.328591749644376
17997,Bardsley,2,Burnley,0.3490567516185973,0.39643735837513017,43.157894736842124
60586,Gudmundsson,3,Burnley,-0.10473083542120239,0.11871337268097838,-25.248933143669984
